address,city,square,rooms,living square,toilet rooms,fix,price per sq m,publish date
"P.O. Box 664, 3059 Litora Road",Presteigne,237,5,161,3,2,14.83$,08/19/2018
"P.O. Box 598, 8524 Aliquam St.",Edinburgh,259,5,210,1,3,16.18$,02/24/2020
5126 Vehicula. Ave,Corral,143,3,90,2,3,1.97$,08/02/2018
454-3823 Dapibus Street,Drachten,148,2,109,2,3,0.60$,05/13/2020
"P.O. Box 182, 3983 Mauris St.",Castellafiume,36,1,165,3,1,4.05$,12/24/2018
"P.O. Box 495, 9022 Pede. Ave",Macchia Valfortore,182,3,224,2,1,14.08$,05/06/2020
Ap #458-7647 Amet St.,Susegana,149,3,77,3,2,9.67$,11/21/2018
575-2284 Etiam St.,Solingen,218,2,205,1,1,12.60$,12/12/2019
"P.O. Box 891, 7446 Nonummy Ave",Wieze,295,4,263,1,1,7.89$,08/06/2018
Ap #616-4358 Convallis Road,Hasselt,190,2,211,1,1,12.07$,11/26/2018
8446 Consequat Rd.,Vertou,203,3,173,1,1,6.55$,01/06/2019
695-5863 Nulla Avenue,Kolkata,162,3,91,3,3,11.43$,01/16/2019
"P.O. Box 285, 6144 Eget Road",Gifhorn,216,2,249,2,2,1.62$,11/10/2018
"P.O. Box 879, 4010 Mi Avenue",Iowa City,149,1,280,3,1,13.03$,05/17/2019
"P.O. Box 927, 9144 Aliquam St.",Neeroeteren,164,3,33,3,1,2.26$,06/04/2019
"355-8017 Non, Rd.",Fredericton,163,2,84,1,3,3.81$,09/28/2019
528 Diam Street,Orvieto,33,3,27,2,3,10.25$,05/22/2019
2806 Sem. Rd.,Carleton,281,5,92,1,1,16.01$,05/05/2019
835-104 Dolor Street,Polatlı,106,5,101,2,1,7.50$,10/12/2018
"Ap #658-6234 Dui, Street",Arauco,247,3,241,1,3,4.28$,08/19/2018
625-3883 Pede. Av.,Mata de Plátano,184,3,232,3,3,3.94$,11/11/2019
"Ap #655-7695 Tincidunt, St.",Sint-Andries,121,5,55,3,1,10.07$,09/01/2019
Ap #594-5246 Vitae Avenue,Nuragus,195,1,111,2,2,13.93$,04/12/2020
"P.O. Box 856, 5103 Porttitor Rd.",Bellante,195,3,125,3,3,8.25$,07/03/2018
999-9660 Magnis St.,Buzet,162,2,99,2,3,15.86$,01/01/2019
472-8037 Lacinia Ave,Cannock,200,2,191,3,1,8.96$,04/01/2019
Ap #957-4227 Arcu St.,Pirmasens,242,5,123,3,1,14.41$,01/02/2020
"P.O. Box 908, 5629 Nulla. St.",Ambala Sadar,130,4,251,2,3,11.55$,07/16/2018
Ap #983-6709 Porttitor Rd.,Grand-RosiŽre-Hottomont,87,4,185,3,1,13.20$,12/27/2019
406-3178 Arcu Rd.,Cerrillos,279,4,225,2,3,16.55$,06/07/2019
Ap #343-6817 Fusce Ave,Monguelfo-Tesido/Welsberg-Taisten,251,2,199,3,1,1.54$,11/29/2018
"P.O. Box 227, 8099 Sem Av.",Ruddervoorde,79,1,72,1,3,2.72$,03/13/2020
"P.O. Box 117, 4597 Tempor Rd.",Enines,43,4,133,1,2,7.69$,07/30/2018
Ap #785-8256 At Road,Billings,236,3,36,3,3,4.75$,05/22/2020
7314 Gravida. St.,San Diego,82,3,266,1,1,14.63$,09/16/2019
5234 Dolor Rd.,San Clemente,157,3,58,3,2,14.19$,05/12/2019
Ap #962-8430 Mauris Avenue,Vorst,268,5,236,3,2,6.63$,07/20/2018
6323 Turpis. Ave,Lansing,203,1,199,3,1,7.82$,06/28/2018
553-9604 Interdum St.,Petit-Hallet,225,4,190,2,3,7.27$,07/16/2018
Ap #590-7842 Eu Street,North Berwick,160,4,74,3,2,16.13$,11/24/2019
"P.O. Box 696, 2643 Diam Av.",Daman,278,4,225,1,1,1.71$,01/16/2019
295-5679 Ligula. Av.,Aliano,190,1,160,1,2,9.71$,03/17/2019
"P.O. Box 595, 476 Sed Rd.",Duisburg,208,3,142,2,2,7.98$,05/13/2019
503 Ac Av.,Ham-sur-Heure,118,1,161,1,1,0.93$,11/02/2018
8887 Luctus Road,Wibrin,284,5,78,3,2,11.16$,11/09/2019
Ap #678-6152 Sit Av.,Westmount,48,3,218,1,3,3.18$,01/26/2019
9176 Eu Rd.,Baddeck,271,1,45,3,1,17.51$,12/24/2018
486-9481 Urna. Street,Rocca Santo Stefano,117,5,95,3,2,9.21$,08/25/2019
"P.O. Box 956, 6640 Risus Av.",Pievepelago,142,1,231,3,3,6.91$,05/27/2020
1643 Nisl. Rd.,North Dum Dum,137,4,144,3,3,5.17$,01/01/2020
"P.O. Box 522, 6973 Hendrerit Avenue",Zaventem,261,4,232,1,1,11.72$,03/13/2020
637-7316 Adipiscing Street,Rhayader,70,5,82,3,1,16.30$,04/05/2020
Ap #893-3882 Vel Road,Łomża,179,1,27,3,1,17.77$,02/07/2019
2814 Interdum Road,Sovizzo,291,3,122,1,2,18.42$,09/19/2018
745-5401 In Av.,Cantley,152,3,206,1,1,15.08$,01/25/2020
443-1559 Faucibus Rd.,Glasgow,119,1,103,2,3,4.48$,03/07/2019
"P.O. Box 588, 974 Etiam Road",Champdani,197,3,97,2,2,6.18$,02/20/2020
"P.O. Box 653, 5864 Dui. St.",Nuneaton,159,1,138,1,2,18.84$,03/28/2020
"P.O. Box 323, 7680 Iaculis Road",Penco,128,1,48,3,1,2.02$,05/05/2019
Ap #662-9100 Vivamus Rd.,Champorcher,265,4,122,1,2,11.01$,08/19/2019
512-3778 Iaculis Rd.,Brandon,79,1,67,1,1,9.70$,04/23/2020
Ap #762-6493 Dictum Street,Monacilioni,49,1,182,1,1,9.46$,08/03/2019
445-3529 Tortor Rd.,Lugo,189,1,249,2,2,8.40$,07/08/2019
"P.O. Box 406, 3589 Mauris Street",Padre las Casas,284,1,113,2,1,12.07$,04/13/2019
251-1398 Nisl. Rd.,Ebenthal in Kärnten,192,5,186,3,1,9.56$,03/21/2019
Ap #747-1295 Dictum Street,Brandenburg,96,5,120,1,2,17.27$,12/18/2018
3910 Aliquet Ave,Guysborough,53,5,188,1,2,1.70$,01/14/2020
"P.O. Box 361, 362 Odio Av.",Lake Cowichan,291,3,84,3,2,3.50$,10/12/2019
"P.O. Box 417, 5545 Luctus Road",Baie-Saint-Paul,241,5,158,2,1,16.82$,02/21/2019
375-6789 Purus St.,Auckland,197,3,153,1,2,5.13$,01/03/2020
856-9640 Purus Rd.,Castiglione di Sicilia,69,3,236,3,3,5.99$,05/26/2019
Ap #838-1341 Accumsan St.,Pramaggiore,57,3,220,3,3,2.84$,08/12/2019
822-5384 Ornare Ave,Tumba,199,5,233,3,2,15.20$,01/25/2020
Ap #390-8069 Cursus Rd.,Saint-Pierre,96,5,231,3,3,19.25$,12/12/2018
716-7625 Lectus. Road,Le Cannet,164,5,168,1,2,13.37$,03/04/2020
"P.O. Box 965, 1987 Sed Street",Sydney,147,4,180,3,1,5.46$,05/02/2019
Ap #982-4449 In Street,Dubuisson,234,5,27,3,1,0.87$,12/24/2018
"7671 Est, Street",Barranca,52,4,183,1,3,6.91$,12/07/2018
Ap #198-8815 Sed Street,Pinkafeld,112,3,173,2,1,7.39$,03/09/2020
430 Nibh. Rd.,Konstanz,64,3,159,1,1,4.36$,11/07/2018
Ap #966-2393 Dui. Avenue,Montgomery,217,5,262,1,3,0.77$,01/03/2020
"P.O. Box 180, 4413 Tristique Rd.",Victoria,175,3,239,1,1,17.12$,09/22/2019
750-6880 Ridiculus Ave,Savona,275,2,207,2,1,5.87$,06/05/2020
"P.O. Box 792, 2591 Eu Road",Eberswalde-Finow,83,4,91,3,3,7.21$,12/31/2019
"P.O. Box 900, 5581 Leo. Av.",Boo,169,1,87,3,1,4.08$,07/30/2019
"4155 Elit, Rd.",Miami,72,2,90,3,1,11.21$,11/15/2018
Ap #566-5831 Dapibus Road,Hornsea,149,1,119,1,2,12.56$,11/03/2018
111-4363 Sed Av.,Cetara,194,1,163,1,3,19.97$,10/21/2019
6415 Aliquam Avenue,Kakinada,75,2,199,3,3,5.68$,11/20/2018
"Ap #286-9997 Amet, St.",Maple Creek,232,4,114,2,2,17.30$,04/12/2019
Ap #356-8670 Sit Rd.,Breda,172,3,79,3,2,1.85$,07/30/2018
"P.O. Box 344, 7195 Imperdiet, Ave",Tywyn,185,3,220,1,1,0.92$,07/07/2018
789-4403 Duis Road,Oudenburg,137,4,64,1,1,4.50$,06/27/2018
"P.O. Box 914, 482 Fermentum St.",Eyemouth,155,1,168,2,2,0.54$,06/02/2020
1132 Elit Street,Bidar,187,3,48,1,2,17.47$,04/26/2019
"P.O. Box 147, 2075 Eu Rd.",Tsiigehtchic,181,1,79,3,2,6.15$,08/15/2018
Ap #721-1753 Luctus Rd.,Erpe,255,2,202,2,2,4.98$,04/08/2020
9612 Arcu. Av.,Waren,101,3,96,3,3,8.87$,08/09/2019
"P.O. Box 923, 3570 Dis Avenue",Concón,168,1,253,2,3,11.05$,01/01/2019
2524 Mollis Rd.,Broken Hill,251,1,126,2,3,11.27$,02/20/2019